lsat,zfygpa,DOB_yr,zgpa,fulltime,fam_inc,age,sex,parttime,Dropout,pass_bar,tier,gpa,admission
39.0,1.25,53.0,1.69,2.0,3.0,-51.0,0,1.0,0,1.0,2.0,0,0
36.0,-0.91,66.0,-1.1,1.0,4.0,-59.0,0,0.0,0,1.0,3.0,0,0
42.0,-0.28,65.0,-0.42,2.0,3.0,-58.0,0,1.0,0,1.0,3.0,0,0
41.0,-0.42,68.0,-0.86,1.0,4.0,-61.0,0,0.0,0,1.0,5.0,0,0
32.5,0.63,66.0,0.38,1.0,2.0,-59.0,1,0.0,0,1.0,4.0,1,0
47.0,1.05,68.0,1.16,1.0,5.0,-61.0,0,0.0,0,1.0,4.0,0,0
42.0,1.1,68.0,0.92,1.0,4.0,-61.0,1,0.0,0,1.0,4.0,1,0
37.0,0.21,66.0,-0.34,1.0,3.0,-59.0,0,0.0,0,1.0,4.0,0,0
34.0,0.62,69.0,0.74,1.0,4.0,-62.0,0,0.0,0,1.0,3.0,0,0
25.0,0.6,69.0,1.72,1.0,3.0,-62.0,1,0.0,0,1.0,5.0,1,1
42.0,1.77,66.0,2.02,1.0,4.0,-59.0,0,0.0,0,1.0,4.0,0,0
31.0,-0.08,66.0,0.25,1.0,3.0,-59.0,1,0.0,0,1.0,3.0,0,0
41.0,1.77,65.0,1.64,1.0,4.0,-58.0,0,0.0,0,1.0,5.0,0,1
35.0,-0.74,70.0,-1.17,1.0,4.0,-68.0,1,0.0,0,1.0,5.0,0,0
34.0,1.81,69.0,1.81,1.0,4.0,-67.0,0,0.0,0,1.0,5.0,0,1
39.0,-1.55,67.0,-1.31,1.0,3.0,-60.0,0,0.0,0,1.0,5.0,0,0
41.0,1.39,70.0,1.27,1.0,2.0,-63.0,0,0.0,0,1.0,6.0,0,1
44.0,0.38,69.0,0.85,1.0,4.0,-62.0,0,0.0,0,1.0,6.0,1,1
29.0,-1.34,69.0,-1.9,1.0,4.0,-62.0,0,0.0,0,1.0,4.0,0,0
41.0,0.66,69.0,0.35,1.0,5.0,-62.0,1,0.0,0,1.0,3.0,0,0
32.0,-1.87,70.0,-2.05,1.0,4.0,-68.0,0,0.0,0,1.0,5.0,0,0
47.0,1.88,65.0,1.29,1.0,2.0,-58.0,1,0.0,0,1.0,5.0,1,1
38.0,-0.18,66.0,-0.38,1.0,4.0,-59.0,0,0.0,0,1.0,4.0,0,0
36.0,-0.07,56.0,-0.02,1.0,3.0,-49.0,0,0.0,0,1.0,3.0,0,0
40.5,0.83,68.0,0.32,1.0,4.0,-66.0,1,0.0,0,1.0,4.0,1,0
48.0,-0.55,67.0,-0.85,1.0,4.0,-65.0,0,0.0,0,1.0,4.0,0,0
38.0,0.81,68.0,0.71,1.0,3.0,-61.0,1,0.0,0,1.0,3.0,1,0
36.0,0.7,68.0,0.53,1.0,4.0,-61.0,0,0.0,0,1.0,3.0,1,0
