views;respects;tot_recommendations
9;2;36
1004;12;22
2491;12;0
20;1;418
4981;23;2
1009;10;62
250;2;98
46;2;36
1993;11;61
3487;8;36
14;0;316
2;0;36
78;1;36
5728;28;7
57;0;2
7;0;2
6;0;2
499;6;104
1993;7;10
250;2;349
27;0;402
6;0;320
1246;4;388
14;0;61
499;1;39
2242;7;57
6;1;36
256;6;316
748;5;36
4;0;316
500;5;36
748;8;70
4;1;36
1247;8;424
2;0;316
251;4;22
14;0;2
2989;16;361
265;1;0
251;0;350
4733;20;83
2;1;36
44;0;7
4989;14;316
1246;7;328
3987;16;36
7;0;417
3737;25;0
77;2;45
499;2;322
2243;8;36
27;0;66
748;4;55
31;1;341
1495;4;2
6730;23;71
12;0;34
8;0;36
755;6;2
250;1;61
1246;20;2
6;0;316
7;0;1
9;0;316
748;2;0
819;10;4
4733;12;83
2492;4;19
1993;12;405
45;0;1
324;1;316
2740;8;49
6725;26;2
111;0;316
6;0;62
1800;8;322
10;1;22
5;0;22
608;2;11
1495;3;338
492;2;341
1996;6;316
14;0;46
1496;8;64
666;4;322
250;7;316
253;5;316
499;4;44
2672;13;45
7;0;66
251;7;325
1495;4;334
250;1;36
7;0;316
8;0;69
14;2;316
2242;1;91
3736;16;418
250;1;36
1495;2;0
258;2;2
250;1;11
18;0;316
499;7;43
748;2;5
1495;4;47
1235;5;11
1495;21;31
499;1;22
748;4;411
974;3;399
1743;2;2
1246;3;371
2073;3;361
3985;31;12
255;4;2
2118;5;36
41;0;320
1246;5;357
8753;8;316
14;1;320
1320;4;1
1498;25;2
49;4;36
4;0;39
11;0;375
1495;4;50
7;0;320
46;3;0
2022;28;22
2;0;316
1248;6;75
253;28;0
250;2;0
2130;11;0
12;0;355
279;6;0
3487;6;442
5231;13;332
499;5;316
997;8;328
1611;7;36
2;0;361
1744;7;0
1204;5;0
12;0;36
1347;5;13
4981;13;45
997;1;60
998;10;36
3;0;341
8;0;102
2989;6;79
9697;26;91
1037;3;107
6;0;105
2505;2;103
10;0;90
11;0;352
7;0;406
2749;9;36
4461;8;100
3;0;316
254;1;0
25;0;400
8;0;42
251;2;33
3;0;316
2;0;0
3308;8;39
998;1;2
501;5;323
937;3;316
35;1;94
2;0;316
4139;9;352
3379;21;36
4234;7;372
2491;7;22
2809;7;10
997;9;33
2435;8;338
2;0;328
4325;6;36
7359;21;355
4;1;0
5;1;0
1247;3;2
3;1;0
2;0;328
9028;65;90
3;0;36
1994;5;0
4;1;375
10959;3;11
212;2;419
9215;19;0
3487;23;36
628;2;0
7;0;316
6226;15;36
1002;7;55
1763;1;36
5574;12;352
8467;19;417
46;1;451
9;0;36
4981;10;1
2989;9;89
3831;13;0
341;3;4
248;2;12
55;2;1
2;0;45
7;0;0
1247;3;0
2243;12;0
87;2;0
22;0;24
748;2;10
64;0;0
2979;10;0
1993;4;33
33;0;0
11;1;322
385;1;46
745;3;406
195;1;316
12;0;316
2;0;316
250;1;39
9;0;0
7;0;0
2;0;7
4;0;316
749;1;373
2989;8;2
8;0;316
3;0;453
1994;4;36
250;3;1
1246;3;0
2;0;316
3985;12;22
5479;16;371
17;1;409
6025;15;46
250;1;439
2;0;42
7089;34;1
748;10;0
2840;5;0
2;0;36
2283;7;0
10;0;0
749;8;0
172;2;0
3;0;36
2;0;36
4;0;0
1854;6;0
1495;6;1
283;1;36
8;1;326
1993;3;50
7;0;322
2;0;89
763;7;365
271;1;0
133;1;45
41;0;0
1496;1;36
3;0;36
748;1;37
4;0;2
198;3;0
553;2;338
251;4;22
583;3;2
3;0;7
2844;7;0
3986;47;0
1993;5;36
3985;10;331
30;1;16
3585;12;36
1122;2;36
2;0;361
4;0;319
372;5;10
3736;9;0
2740;6;45
1;0;316
49;1;0
251;2;36
178;0;450
40;0;33
21;1;4
3985;8;18
2242;5;325
2;0;61
2;0;46
11954;4;316
717;3;374
158;2;59
3985;5;53
2;0;318
3183;46;22
1174;2;130
250;1;114
1250;6;7
8183;6;316
504;1;0
3985;15;361
268;2;36
1178;3;316
5487;55;22
1089;5;0
1409;2;406
997;3;61
16;0;22
748;6;3
9964;14;36
842;3;361
997;2;106
105;3;36
4240;13;47
34114;83;36
131;1;361
81;1;92
1993;6;0
5230;20;2
799;3;4
140;3;316
1250;2;316
43;1;107
2740;8;64
149;2;0
499;5;36
1246;4;53
164;2;316
136;1;318
997;4;14
81;1;316
86;2;86
250;3;22
20;1;36
496;2;134
80;1;0
583;1;387
3742;7;67
1495;2;326
4711;11;316
109;1;36
945;3;22
3824;10;3
2487;6;5
24652;52;26
744;2;95
4484;17;73
2758;16;0
4732;8;36
684;5;316
1559;4;47
2492;9;80
5112;8;36
7528;8;53
4120;21;316
2740;7;25
3238;10;352
64;0;316
1369;5;22
1591;6;36
1265;8;93
11455;21;159
7969;8;369
438;1;316
606;1;46
1447;2;334
955;4;44
7471;5;316
349;2;69
1171;3;42
4483;11;0
255;5;318
1268;6;19
2591;5;40
3189;18;364
824;7;14
2609;16;0
3985;23;316
1279;6;316
1246;3;36
2405;9;50
1793;4;2
3981;10;2
748;1;0
1794;6;25
625;1;372
2989;7;55
7791;5;372
1775;5;14
1068;4;19
3640;6;327
449;3;0
12202;19;328
719;3;143
457;2;316
1754;3;333
117;1;0
2397;5;72
516;1;36
5479;8;316
9067;16;21
2361;6;373
1745;14;0
5230;14;0
4530;11;316
1246;0;0
3238;7;67
7969;22;38
3489;15;25
377;1;0
321;1;316
997;3;368
5854;7;22
3609;15;5
6973;19;36
511;5;354
3430;8;50
3736;5;93
1794;7;401
2028;11;316
236;2;36
532;3;126
5479;4;316
1026;3;0
998;3;36
400;3;36
2242;7;106
3963;5;407
4484;8;140
1246;4;322
1246;2;316
2724;8;11
1993;5;40
8716;20;62
1807;17;0
992;2;36
3458;5;437
2242;2;0
2491;7;54
3074;9;0
2242;7;353
14194;52;2
1049;3;36
8469;51;106
3239;17;51
3109;6;37
1364;4;22
2696;3;319
8965;20;81
4915;20;352
7720;28;55
6048;12;7
3736;6;316
4827;19;36
5977;28;84
5479;12;187
22660;9;352
4732;15;91
8708;15;409
997;2;22
9427;5;316
7911;11;431
4025;21;22
4469;23;2
4236;14;316
1247;6;341
5728;15;36
2242;9;22
13198;6;379
3985;24;353
1952;7;36
2906;6;36
6703;15;316
2305;6;2
2299;4;316
29383;46;45
603;3;331
1449;7;94
2242;6;126
9530;10;350
2099;2;81
4732;27;2
26593;46;316
2989;2;36
8716;22;2
3370;9;17
1495;4;1
11654;22;352
3118;23;2
9063;14;321
6226;15;50
14796;16;36
1451;3;48
11954;44;46
2989;10;1
11455;24;0
2740;6;316
4042;7;4
4981;22;327
9579;18;59
6226;4;316
12143;33;40
1146;6;22
2989;9;23
1760;8;28
3720;19;2
3488;16;380
806;1;152
1187;1;397
1817;4;69
1516;4;7
966;3;154
1769;5;23
1282;3;4
1289;3;316
2544;8;53
11343;45;36
3523;28;352
2897;7;56
7278;20;36
1221;1;7
3932;19;11
2952;9;105
14074;48;0
18178;10;36
3053;3;39
18961;24;316
14195;23;406
19423;18;0
26893;51;435
11098;8;81
15743;36;59
12700;10;36
1625;10;22
15175;43;2
3322;5;11
1843;10;66
1778;3;361
2511;8;2
2404;1;43
3477;4;316
1277;2;316
2323;3;36
1993;2;316
6724;10;94
34145;54;36
7817;13;89
591;1;316
6476;11;361
996;2;22
962;0;21
1945;6;45
3085;4;322
4483;10;36
1093;2;81
1959;3;0
8476;10;36
10641;12;106
3737;11;55
2160;6;0
25087;54;316
3590;4;115
5230;16;36
6724;27;0
22054;23;70
4880;5;321
5470;6;411
1746;5;36
4654;23;0
7462;26;36
7187;8;55
2491;4;326
11705;11;321
1780;4;37
2317;7;316
3487;3;36
2836;10;318
1079;1;0
2740;7;36
5837;12;48
6226;10;57
12951;16;42
2433;1;0
4126;15;1
3751;6;111
6746;13;316
6724;19;4
5206;6;349
2120;4;361
7978;29;36
1831;8;36
2848;7;59
12202;17;128
3425;14;98
15146;48;0
3245;2;2
10672;14;316
1094;4;352
1902;4;36
1998;5;50
2740;2;22
6725;22;36
5762;23;22
1733;3;2
10957;38;22
7971;2;458
11953;7;316
5188;15;36
4236;23;2
9843;12;46
3903;7;474
6408;19;26
6335;10;95
20419;18;38
3985;12;41
14941;25;65
25151;90;2
2035;3;0
4103;9;0
2032;6;51
3114;4;36
21486;32;367
1761;6;344
2259;4;14
13946;29;71
8571;20;48
3985;4;0
8910;30;0
7052;16;1
3557;4;317
1993;1;2
14694;31;316
1359;5;26
1993;3;0
12462;12;93
66235;93;92
9464;40;50
18427;39;36
7969;12;64
5728;13;85
3287;4;316
3985;17;30
4240;6;316
6011;27;316
2740;9;15
1016;2;378
6289;13;47
18893;20;453
10849;17;5
4610;17;0
6178;59;316
3301;8;2
8219;16;131
5083;11;36
42336;36;45
22036;39;0
3394;7;36
3487;11;67
2989;5;0
2448;6;2
1601;3;317
2749;6;47
6724;10;316
7222;16;27
20776;70;350
8632;12;36
2265;4;378
6475;9;53
13697;21;316
5122;11;372
5300;13;378
13359;2;378
2329;4;50
2003;12;0
4759;9;316
7472;9;412
84412;149;418
1513;5;36
1647;4;316
29881;65;34
3208;6;400
4733;6;361
1744;5;4
7720;20;64
5424;4;0
3832;14;320
2970;2;0
20668;27;316
2487;4;439
11456;32;69
1246;3;316
11714;19;316
19418;6;38
9961;27;36
1630;2;61
10304;24;36
10708;34;361
26893;63;407
2735;8;36
3850;7;439
9148;12;10
10210;23;316
4365;6;2
17539;20;45
10304;15;338
19423;44;98
8716;22;62
2450;8;39
29622;21;316
9216;20;137
6725;7;22
1087;1;0
46564;60;81
5231;8;22
1359;9;316
37601;26;47
15190;31;45
4342;30;55
5872;6;83
2491;1;36
9712;15;38
8716;11;37
15390;4;22
7747;2;316
7202;19;407
2123;3;333
5479;15;0
13276;20;0
2639;7;345
5120;11;316
3737;5;422
39695;52;55
5785;8;1
11249;18;36
17433;25;118
1439;3;316
3736;7;48
20993;82;316
11117;7;114
7725;13;54
2357;2;22
6839;17;0
2603;5;38
3270;5;36
5771;7;90
3850;18;347
2241;3;22
3669;12;36
8405;30;316
2786;7;418
15272;7;36
3334;10;34
2926;8;333
2989;14;7
5231;7;8
16435;18;54
6226;13;39
3926;5;36
4928;5;4
11206;28;42
6724;23;2
17930;21;38
18882;31;0
2368;1;69
5567;4;61
6692;9;36
4474;13;41
3067;8;1
2212;4;55
3985;5;36
1070;5;36
3238;4;22
3102;3;316
2242;2;1
2324;2;1
1728;5;389
2989;3;0
17523;28;81
46431;77;7
5620;8;118
20668;32;45
3627;9;66
8716;16;361
1495;4;316
1594;1;316
2242;3;36
4387;6;36
5135;12;0
5007;5;0
3238;7;373
16435;14;11
10497;16;316
11953;18;316
4976;17;316
3986;12;320
20917;10;325
9712;29;127
3840;18;58
10210;13;2
11797;5;99
8472;6;90
15177;26;0
3309;9;145
22909;24;356
9961;13;36
17718;21;331
5977;36;2
3043;4;36
9132;35;36
3736;11;57
3238;4;2
4234;6;0
13995;23;36
96862;115;0
7471;16;36
2989;14;36
6872;15;22
20668;25;48
1358;3;2
4235;14;36
11365;6;94
4482;6;330
5332;13;53
10708;10;36
15744;12;67
21166;30;4
9961;10;61
5606;6;316
4483;5;107
8467;24;379
11954;14;16
8475;21;316
18706;54;0
25897;19;53
11653;18;95
16007;6;374
16186;22;361
15877;14;0
8717;15;38
3496;3;0
13696;7;374
6175;11;87
7471;21;1
16199;26;324
6689;10;327
2284;2;36
11548;6;316
2243;10;48
2957;5;316
7482;12;1
3777;9;36
2038;2;36
40856;27;392
19404;14;329
7223;9;36
4012;2;22
17239;10;357
7083;2;87
2111;1;335
3775;9;316
43340;13;81
3736;18;30
19847;10;362
5979;9;79
3952;6;48
3519;2;50
6973;19;364
13200;10;41
3985;5;21
13945;18;42
31062;168;321
25399;35;324
5977;4;316
27902;10;632
3605;2;461
8213;10;331
3791;11;316
25788;12;36
28454;9;389
3487;9;2
10460;18;361
5713;16;25
1408;0;0
5234;4;341
1781;2;316
1557;1;9
17184;15;316
938;3;0
2740;1;316
2449;4;37
28175;10;316
5174;29;0
28859;51;36
2491;4;60
7720;12;316
7471;23;126
24133;12;6
7706;28;69
3155;3;320
8716;10;38
